"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_001MA","S1602_C01_001EA","S1602_C01_002E","S1602_C01_002EA","S1602_C01_002M","S1602_C01_002MA","S1602_C01_003E","S1602_C01_003EA","S1602_C01_003M","S1602_C01_003MA","S1602_C01_004E","S1602_C01_004EA","S1602_C01_004M","S1602_C01_004MA","S1602_C01_005E","S1602_C01_005EA","S1602_C01_005M","S1602_C01_005MA","S1602_C02_001E","S1602_C02_001M","S1602_C02_001MA","S1602_C02_001EA","S1602_C02_002E","S1602_C02_002EA","S1602_C02_002M","S1602_C02_002MA","S1602_C02_003E","S1602_C02_003EA","S1602_C02_003M","S1602_C02_003MA","S1602_C02_004E","S1602_C02_004EA","S1602_C02_004M","S1602_C02_004MA","S1602_C02_005E","S1602_C02_005EA","S1602_C02_005M","S1602_C02_005MA","S1602_C03_001E","S1602_C03_001EA","S1602_C03_001M","S1602_C03_001MA","S1602_C03_002E","S1602_C03_002EA","S1602_C03_002M","S1602_C03_002MA","S1602_C03_003E","S1602_C03_003EA","S1602_C03_003M","S1602_C03_003MA","S1602_C03_004E","S1602_C03_004EA","S1602_C03_004M","S1602_C03_004MA","S1602_C03_005E","S1602_C03_005M","S1602_C03_005MA","S1602_C03_005EA","S1602_C04_001E","S1602_C04_001M","S1602_C04_001MA","S1602_C04_001EA","S1602_C04_002E","S1602_C04_002EA","S1602_C04_002M","S1602_C04_002MA","S1602_C04_003E","S1602_C04_003M","S1602_C04_003MA","S1602_C04_003EA","S1602_C04_004E","S1602_C04_004M","S1602_C04_004MA","S1602_C04_004EA","S1602_C04_005E","S1602_C04_005M","S1602_C04_005MA","S1602_C04_005EA",
"Geography","Geographic Area Name","Estimate!!Total!!All households","Margin of Error!!Total!!All households","Annotation of Margin of Error!!Total!!All households","Annotation of Estimate!!Total!!All households","Estimate!!Total!!All households!!Households speaking --!!Spanish","Annotation of Estimate!!Total!!All households!!Households speaking --!!Spanish","Margin of Error!!Total!!All households!!Households speaking --!!Spanish","Annotation of Margin of Error!!Total!!All households!!Households speaking --!!Spanish","Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages","Annotation of Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Total!!All households!!Households speaking --!!Other Indo-European languages","Annotation of Margin of Error!!Total!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Annotation of Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Annotation of Margin of Error!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Total!!All households!!Households speaking --!!Other languages","Annotation of Estimate!!Total!!All households!!Households speaking --!!Other languages","Margin of Error!!Total!!All households!!Households speaking --!!Other languages","Annotation of Margin of Error!!Total!!All households!!Households speaking --!!Other languages","Estimate!!Percent!!All households","Margin of Error!!Percent!!All households","Annotation of Margin of Error!!Percent!!All households","Annotation of Estimate!!Percent!!All households","Estimate!!Percent!!All households!!Households speaking --!!Spanish","Annotation of Estimate!!Percent!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent!!All households!!Households speaking --!!Spanish","Annotation of Margin of Error!!Percent!!All households!!Households speaking --!!Spanish","Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Annotation of Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Annotation of Margin of Error!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Annotation of Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Annotation of Margin of Error!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent!!All households!!Households speaking --!!Other languages","Annotation of Estimate!!Percent!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other languages","Annotation of Margin of Error!!Percent!!All households!!Households speaking --!!Other languages","Estimate!!Limited English-speaking households!!All households","Annotation of Estimate!!Limited English-speaking households!!All households","Margin of Error!!Limited English-speaking households!!All households","Annotation of Margin of Error!!Limited English-speaking households!!All households","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Annotation of Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Annotation of Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Annotation of Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Annotation of Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Annotation of Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Annotation of Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Annotation of Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Annotation of Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Estimate!!Percent limited English-speaking households!!All households","Margin of Error!!Percent limited English-speaking households!!All households","Annotation of Margin of Error!!Percent limited English-speaking households!!All households","Annotation of Estimate!!Percent limited English-speaking households!!All households","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Annotation of Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Annotation of Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Annotation of Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Annotation of Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Annotation of Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Annotation of Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages","Annotation of Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages","Annotation of Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages",
"1400000US06001400100","Census Tract 4001, Alameda County, California","1337","136","null","null","144","null","83","null","168","null","84","null","123","null","53","null","34","null","32","null","(X)","(X)","(X)","(X)","10.8","null","6.1","null","12.6","null","6.2","null","9.2","null","3.8","null","2.5","null","2.4","null","8","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","8","13","null","null","0.6","1.0","null","null","0.0","null","23.9","null","0.0","21.0","null","null","0.0","27.2","null","null","23.5","42.6","null","null",
"1400000US06001400200","Census Tract 4002, Alameda County, California","868","86","null","null","50","null","28","null","79","null","38","null","40","null","20","null","0","null","13","null","(X)","(X)","(X)","(X)","5.8","null","3.3","null","9.1","null","4.3","null","4.6","null","2.3","null","0.0","null","4.5","null","4","null","6","null","0","null","13","null","4","null","6","null","0","null","13","null","0","13","null","null","0.5","0.7","null","null","0.0","null","46.5","null","5.1","8.3","null","null","0.0","52.0","null","null","-","**","**","-",
"1400000US06001400300","Census Tract 4003, Alameda County, California","2548","255","null","null","90","null","120","null","185","null","129","null","184","null","116","null","151","null","116","null","(X)","(X)","(X)","(X)","3.5","null","4.6","null","7.3","null","4.8","null","7.2","null","4.5","null","5.9","null","4.6","null","134","null","113","null","0","null","19","null","0","null","19","null","15","null","24","null","119","112","null","null","5.3","4.5","null","null","0.0","null","34.1","null","0.0","19.3","null","null","8.2","13.4","null","null","78.8","26.8","null","null",
"1400000US06001400400","Census Tract 4004, Alameda County, California","1826","180","null","null","139","null","109","null","83","null","47","null","121","null","82","null","11","null","20","null","(X)","(X)","(X)","(X)","7.6","null","5.7","null","4.5","null","2.6","null","6.6","null","4.4","null","0.6","null","1.1","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0.0","2.2","null","null","0.0","null","24.6","null","0.0","35.9","null","null","0.0","27.5","null","null","0.0","99.2","null","null",
"1400000US06001400500","Census Tract 4005, Alameda County, California","1673","274","null","null","143","null","71","null","85","null","52","null","89","null","53","null","31","null","38","null","(X)","(X)","(X)","(X)","8.5","null","4.4","null","5.1","null","3.2","null","5.3","null","3.5","null","1.9","null","2.3","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0.0","2.4","null","null","0.0","null","24.1","null","0.0","35.4","null","null","0.0","34.3","null","null","0.0","59.1","null","null",
"1400000US06001400600","Census Tract 4006, Alameda County, California","741","93","null","null","68","null","46","null","11","null","12","null","44","null","30","null","31","null","33","null","(X)","(X)","(X)","(X)","9.2","null","6.0","null","1.5","null","1.7","null","5.9","null","4.0","null","4.2","null","4.3","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0.0","5.3","null","null","0.0","null","39.9","null","0.0","99.2","null","null","0.0","49.6","null","null","0.0","59.1","null","null",
"1400000US06001400700","Census Tract 4007, Alameda County, California","2027","195","null","null","237","null","109","null","143","null","93","null","90","null","59","null","88","null","60","null","(X)","(X)","(X)","(X)","11.7","null","5.2","null","7.1","null","4.3","null","4.4","null","2.8","null","4.3","null","3.0","null","119","null","66","null","24","null","23","null","0","null","19","null","45","null","47","null","50","56","null","null","5.9","3.2","null","null","10.1","null","10.1","null","0.0","24.1","null","null","50.0","34.2","null","null","56.8","40.8","null","null",
"1400000US06001400800","Census Tract 4008, Alameda County, California","1799","220","null","null","86","null","58","null","119","null","73","null","171","null","115","null","54","null","60","null","(X)","(X)","(X)","(X)","4.8","null","3.2","null","6.6","null","4.0","null","9.5","null","6.0","null","3.0","null","3.4","null","99","null","103","null","8","null","14","null","0","null","13","null","91","null","103","null","0","13","null","null","5.5","5.5","null","null","9.3","null","18.1","null","0.0","27.9","null","null","53.2","34.7","null","null","0.0","44.8","null","null",
"1400000US06001400900","Census Tract 4009, Alameda County, California","1125","138","null","null","83","null","61","null","72","null","68","null","48","null","39","null","11","null","18","null","(X)","(X)","(X)","(X)","7.4","null","5.2","null","6.4","null","6.1","null","4.3","null","3.5","null","1.0","null","1.7","null","46","null","58","null","0","null","13","null","35","null","57","null","0","null","13","null","11","18","null","null","4.1","5.3","null","null","0.0","null","35.9","null","48.6","49.6","null","null","0.0","47.5","null","null","100.0","99.2","null","null",
